"name","itemId","price","currentPrice","brandName","sellerName","ratingScore","itemSold","location","image","itemUrl"
"i7s Bluetooth Wireless Earbuds Earphone Headsets Twins Stereo Earpiece with Microphone For Android iPhone Apple Earpods And All Other Smart Mobile Phones",219840616,799,"Rs. 799","No Brand","Online Order",4.4,65,"Punjab","https://static-01.daraz.pk/p/5a67c16d4144c01c46b897d76d48d857.jpg","https://www.daraz.pk/products/i7s-i219840616.html"
"Original Mi Hands free High Quality Super Bass Stereo Hand free Earphone With Mic For All Mobile And Android Phone - Handsfree Earpods With Extra Bass and Calling Mic By Matt Pie",267143078,182.28,"Rs. 182","No Brand","(BiG SHOP)",1,8,"Punjab","https://static-01.daraz.pk/p/38f062dade0634b8a773d4197371cea3.jpg","https://www.daraz.pk/products/original-mi-hands-free-high-quality-super-bass-stereo-hand-free-earphone-with-mic-for-all-mobile-and-android-phone-handsfree-earpods-with-extra-bass-and-calling-mic-by-matt-pie-i267143078.html"
"New I7 SINGLE Bluetooth Wireless Earbuds Earphone Headsets Stereo Earpiece EarPods With Microphone For Earphone All Mobile Phones",831599250,399,"Rs. 399","VJP","VJP®",0,0,"Punjab","https://static-01.daraz.pk/p/f07628918f2da5f23caf2bc92c1bb238.jpg","https://www.daraz.pk/products/i7-i831599250.html"
"Earpod mobile phone",392563889,3250,"Rs. 3,250","No Brand","Ahmad Bhutta Traders",0,0,"Punjab","https://pk-live-21.slatic.net/kf/S66cfdabad1bb422989e7e71e18ebf5df9.jpg","https://www.daraz.pk/products/earpod-mobile-phone-i392563889.html"
"Ayunwish i11 & i12 Earpods For All Mobile Phones",497690895,649,"Rs. 649","No Brand","Mini-Collection",5,5,"Punjab","https://pk-live-21.slatic.net/kf/S17df7c73ea4242aeba3217b4068882f5m.jpg","https://www.daraz.pk/products/i11-i12-i497690895.html"
"Super Mini Earpods Invisible Ultra Bluetooth Universal Handsfree For All Mobile Phones Wireless Stereo Single Headset With Mic  SR M16 Super Mini Invisible Ultra Bluetooth 5.0 Wireless Stereo Single Headset With Mic Universal Handsfree",130727253,899,"Rs. 899","Malamah","Emily 1",3,9,"Punjab","https://static-01.daraz.pk/p/44d2f0735ef4ec2aa92048c9952e7e0e.jpg","https://www.daraz.pk/products/sr-m16-50-i130727253.html"
"Super Mini Earpods Invisible Ultra Bluetooth 4.0  Wireless Stereo Single Headset With Mic Universal Handsfree SR M16 Super Mini Invisible Ultra Bluetooth 5.0 Wireless Stereo Single Headset With Mic Universal Handsfree For All Mobile Phones",115462545,798,"Rs. 798","Malamah","Emily 1",3.33,19,"Punjab","https://static-01.daraz.pk/p/8149068eb032eed3a33524e321835b87.jpg","https://www.daraz.pk/products/40-sr-m16-50-i115462545.html"
"New I7 SINGLE Bluetooth Wireless Earbuds Earphone Headsets Stereo Earpiece EarPods With Microphone For Earphone All Mobile Phones",831564699,386.23,"Rs. 386","OKIE","OKIE",0,0,"Punjab","https://static-01.daraz.pk/p/f07628918f2da5f23caf2bc92c1bb238.jpg","https://www.daraz.pk/products/i7-i831564699.html"
"Ayunwish i11 & i12 Earpods For All Mobile Phones",497688704,649,"Rs. 649","No Brand","Mini-Collection",5,7,"Punjab","https://pk-live-21.slatic.net/kf/S47366658ff6f48a59b159ebdcebb3c53x.jpg","https://www.daraz.pk/products/i11-i12-i497688704.html"
"Ayunwish i11 and i12 Earpods - Compatible with All Mobile Phones",497697217,599,"Rs. 599","No Brand","Minii-Hub",4.64,55,"Punjab","https://pk-live-21.slatic.net/kf/Scbfaa190f2e94833a5facc232fde958au.jpg","https://www.daraz.pk/products/ayunwish-i11-and-i12-earpods-compatible-with-all-mobile-phones-i497697217.html"
"Airpods Pro high quality with premium sound- Airbuds - Earpods - Earbuds - Airpod -",178748101,799,"Rs. 799","No Brand","Online Order",4.47,218,"Punjab","https://static-01.daraz.pk/p/978b3fb95712b0016649da43296a3c55.jpg","https://www.daraz.pk/products/mini-invisible-ultra-bluetooth-mini-bluetooth-wireless-stereo-headsetearphonehandsfreeheadphone-with-mic-universal-handsfree-for-iphone-for-samsung-for-all-android-phonesbluetooth-headset-for-all-mobilesspecial-blue-tooth-headset-i178748101.html"
