"name","itemId","price","currentPrice","brandName","sellerName","ratingScore","itemSold","location","image","itemUrl"
"Ayunwish i11 & i12 Earpods For All Mobile Phones","497694759","578","Rs. 578","No Brand","Minii-Hub","4.33","23","Punjab","https://pk-live-21.slatic.net/kf/S2bd076d87e534759ab86d09fb0cb89e5B.jpg","https://www.daraz.pk/products/i11-i12-i497694759.html"
"Earpod Pro Fast Pair High Quality Sound Base for All Mobile Phones","466939862","999","Rs. 999","No Brand","Jahangir Collection Lahore ","1",,"Punjab","https://pk-live-21.slatic.net/kf/Sf367b87cebc1419cbd19a76d0eb3f4a8K.jpg","https://www.daraz.pk/products/-i466939862.html"
"Original Mi Hands free High Quality Super Bass Stereo Hand free Earphone With Mic For All Mobile And Android Phone - Handsfree Earpods With Extra Bass and Calling Mic By Matt Pie","267143078","199","Rs. 199","No Brand","(BiG SHOP)","1","7","Punjab","https://static-01.daraz.pk/p/38f062dade0634b8a773d4197371cea3.jpg","https://www.daraz.pk/products/original-mi-hands-free-high-quality-super-bass-stereo-hand-free-earphone-with-mic-for-all-mobile-and-android-phone-handsfree-earpods-with-extra-bass-and-calling-mic-by-matt-pie-i267143078.html"
"Ayunwish i11 & i12 Earpods For All Mobile Phones","497690895","628","Rs. 628","No Brand","Mini-Collection","5","5","Punjab","https://pk-live-21.slatic.net/kf/S17df7c73ea4242aeba3217b4068882f5m.jpg","https://www.daraz.pk/products/i11-i12-i497690895.html"
"i7s Bluetooth Wireless Earbuds Earphone Headsets Twins Stereo Earpiece with Microphone For Android iPhone Apple Earpods And All Other Smart Mobile Phones","219840616","899","Rs. 899","No Brand","Online Order","4.18","53","Punjab","https://static-01.daraz.pk/p/5a67c16d4144c01c46b897d76d48d857.jpg","https://www.daraz.pk/products/i7s-i219840616.html"
"New I7 SINGLE Bluetooth Wireless Earbuds Earphone Headsets Stereo Earpiece EarPods With Microphone For Earphone All Mobile Phones","831599250","399","Rs. 399","VJP","VJP®",,,"Punjab","https://static-01.daraz.pk/p/f07628918f2da5f23caf2bc92c1bb238.jpg","https://www.daraz.pk/products/i7-i831599250.html"
"Super Mini Earpods Invisible Ultra Bluetooth 4.0  Wireless Stereo Single Headset With Mic Universal Handsfree SR M16 Super Mini Invisible Ultra Bluetooth 5.0 Wireless Stereo Single Headset With Mic Universal Handsfree For All Mobile Phones","115462545","798","Rs. 798","Malamah","Emily 1","3.33","19","Punjab","https://static-01.daraz.pk/p/8149068eb032eed3a33524e321835b87.jpg","https://www.daraz.pk/products/40-sr-m16-50-i115462545.html"
"Super Mini Earpods Invisible Ultra Bluetooth 4.0  Wireless Stereo Single Headset With Mic Universal Handsfree For All Mobile Phones","130721847","798","Rs. 798","Malamah","Emily 1",,,"Punjab","https://static-01.daraz.pk/p/256fdfe68b05d986cd202a27a129ca0c.jpg","https://www.daraz.pk/products/40-i130721847.html"
"New I7 SINGLE Bluetooth Wireless Earbuds Earphone Headsets Stereo Earpiece EarPods With Microphone For Earphone All Mobile Phones","831786014","434.63","Rs. 435","OKS®","OkMall®","5","6","Punjab","https://static-01.daraz.pk/p/f07628918f2da5f23caf2bc92c1bb238.jpg","https://www.daraz.pk/products/i7-i831786014.html"
"Earpod Pro Fast Pair High Quality Sound Base for All Mobile Phones Color White","517198162","777","Rs. 777","No Brand","Ay_Trader","5",,"Punjab","https://static-01.daraz.pk/p/e2299a511b63497abfc9e9239c4d9c4f.jpg","https://www.daraz.pk/products/-i517198162.html"
