"name","itemId","price","currentPrice","brandName","sellerName","ratingScore","itemSold","location","image","itemUrl"
"Lanteso True Wireless Earbuds, TWS Bluetooth Earbuds with Mics Clear Call Touch Control Bluetooth Headphones with Bass Sound in Ear Earphones for Music,Home Office","1954493616","799","Rs. 799","No Brand","KIN",5,0,"Punjab","https://static-01.daraz.pk/p/6b19334f1e8189995dfb606a41e2a9ab.png","https://www.daraz.pk/products/tws-i1954493616.html"
"New M10 Earbuds TWS Bluetooth Headphones 3500mAh Charging Box Wireless Earphones With Microphone 9D Air buds Stereo Sports Waterproof Ear buds Headset","1951582318","448.32","Rs. 448",".No Brand.","City Mall..",5,27,"Punjab","https://static-01.daraz.pk/p/9f4cd26bd3f01af08fc92e37085e8a0c.jpg","https://www.daraz.pk/products/m10-tws-3500mah-9d-i1951582318.html"
"M90 Wireless earbuds Gaming Earphone Bluetooth Sport Earphone with Mic Headset","535947781","999","Rs. 999","No Brand","Pro Collections",4.4,59,"Punjab","https://static-01.daraz.pk/p/537cb15a518839cc79adce17f974d6c5.jpg","https://www.daraz.pk/products/m90-i535947781.html"
"M04 TWS Wireless Earbuds with ENC Noise Cancellation, HiFi Stereo & Bluetooth 5.3 – Black/White","1949375378","632.31","Rs. 632",".No Brand.","Sial Traders® ",4.25,20,"Punjab","https://pk-live-21.slatic.net/kf/S4225019b8ee1432f917463fb125d7908m.jpg","https://www.daraz.pk/products/tws-m04-enc-hifi-53-i1949375378.html"
"M19 Airpods TWS (True Wireless Stereo) Bluetooth Earphones Headset With HiFi Stereo Sound & Touch Control System (Connected With All Bluetooth Devices).","1947256700","769","Rs. 769","No Brand","Own Mall",5,11,"Punjab","https://static-01.daraz.pk/p/cea78ce4dcfcfe8726082fea14ddc095.jpg","https://www.daraz.pk/products/m19-tws-hifi-i1947256700.html"
"Air buds Transparent Air39 Bluetooth Round Drawer TWS Fully WATER prof Earphones Wireless Earbuds ENC Noise Reduction Headsets LED Display Sport Headphones Round Drawer Type Charging Case Best Wireless Airbuds Environmental Touch Control Earbu","948098412","766","Rs. 766","No Brand","Own Mall",4.2,22,"Punjab","https://static-01.daraz.pk/p/bbbe4737a477820aeb43bf0a5ba7c47f.jpg","https://www.daraz.pk/products/39-i948098412.html"
"Airbuds Air 31 Wireless Bluetooth Earpods / Crystal Transparent Case Headset With Mic For All Models / Stereo Sound Earbuds For Music & Gaming","513009541","699","Rs. 699","No Brand","HR ASSOCIATION",4.7,1,"Sindh","https://pk-live-21.slatic.net/kf/Sd6bb3dbc910d4036a9d81acef28a068fn.jpg","https://www.daraz.pk/products/31-i513009541.html"
"Air31 TWS (True Wireless Stereo) Bluetooth Dual Earphones Headset (Compatible With All Bluetooth Devices).","722999361","599","Rs. 599","No Brand","Xperta ",4.6,151,"Punjab","https://static-01.daraz.pk/p/d5e79e6214c6e65950a6e2403a5081ff.jpg","https://www.daraz.pk/products/air31-tws-true-wireless-stereo-bluetooth-dual-earphones-headset-compatible-with-all-bluetooth-devices-i722999361.html"
"M10 Earbuds | M10 TWS Wireless Earbuds | M10 Earbuds 3500mah Original | Bluetooth Earbuds | High Quality Touch Sensors True Stereo Headphones with Built in Mic Transmission Bluetooth Wireless Earbuds","1948616238","689","Rs. 689","No Brand","KingTraders",4.62,157,"Punjab","https://static-01.daraz.pk/p/1d706b150ec8132ee4685f8439433963.jpg","https://www.daraz.pk/products/10-m10-tws-m10-3500mah-i1948616238.html"
"TWS Wireless Ear Clip on Headphone  Bluetooth 5.3 Earphone Single in-Ear HiFi Stereo Touch Control Sports Headset with Mic","849829818","349","Rs. 349","No Brand","Jasmin Collection",4.42,59,"Punjab","https://static-01.daraz.pk/p/551e26082b8e5ebc4895855824941262.jpg","https://www.daraz.pk/products/tws-53-hifi-i849829818.html"
"EARCLIPS EARBUDS -NEW TWS FOR AMBIE SOUND EARCUFFS EAR BONE CONDUCTION EARRING WIRELESS BLUETOOTH EARPHONES SPORT HEADPHONES EARBUDS FOR PHONES","946044869","933.06","Rs. 933",".No Brand.","Accessory HUB 8",5,16,"Punjab","https://static-01.daraz.pk/p/1cb47f08f7dc86516f36e3abfb387ff8.jpg","https://www.daraz.pk/products/earclips-earbuds-new-tws-for-ambie-sound-earcuffs-ear-bone-conduction-earring-wireless-bluetooth-earphones-sport-headphones-earbuds-for-phones-i946044869.html"
