"name","itemId","price","currentPrice","brandName","sellerName","ratingScore","itemSold","location","image","itemUrl"
"XTRIKE ME GH-513W Wireless Gaming Headset Tri Mode Bluetooth 6.0 2.4G Wireless Wired USB Type C Stereo Headphones with Mic White",1952233033,6990,"Rs. 6,990","No Brand","Gadget District",0,0,"Punjab","https://static-01.daraz.pk/p/776383cb519141afd46a0ad1c90db6bf.jpg","https://www.daraz.pk/products/xtrike-me-gh-513w-60-usb-c-i1952233033.html"
"FunBug Pro Gaming Headset with RGB Lights, Noise Cancelling Mic, USB/3.5mm Plug - Comfortable Ear Cushions, On-Headset Audio Control, New",124744102,1569.72,"Rs. 1,570","FUNBUG","FunBug",4.63,1,"Punjab","https://pk-live-21.slatic.net/kf/Sa9424edb1bb64ac89c30b104e3d5e1c6r.png","https://www.daraz.pk/products/35-i124744102.html"
"H130 Gaming Headphones - Over-Ear Stereo Sound Headset with 360° Adjustable Noise Reducing Microphone for PC, Laptop, Mobile, PS4, Xbox - 3.5mm Wired Plug - Red & Black - By FunBug",948436517,1596.87,"Rs. 1,597","No Brand","The Gaming Bug",5,38,"Punjab","https://static-01.daraz.pk/p/971085edbb2c4cdaf83c23e99e64632d.png","https://www.daraz.pk/products/hp-h130-360-4-35-i948436517.html"
"High-Quality Gaming Keyboard and Mouse Combo with RGB Side LED Panel - Mechanical Feeling Wired Keyboard & 2400 DPI Mouse with FREE Mouse Pad for Pubg Mobile, Laptop, PC Computer - 3 in 1 Gaming Bundle - Black, White, Green",1947084835,2772.22,"Rs. 2,772","FUNBUG","FunBug",5,36,"Punjab","https://pk-live-21.slatic.net/kf/S887f1c15f411495888dbf7aa7ce63f9aL.png","https://www.daraz.pk/products/rgb-2400-3-1-i1947084835.html"
"4 IN 1 Mobile Game Combo Pack /Gaming Converter/Wired Gaming Keypad Ergonomic One-headed PUBG / shooting games with wire or with Bluetooth Connection",1953977372,2999,"Rs. 2,999","No Brand","HappyMart",0,0,"Punjab","https://static-01.daraz.pk/p/30e7c18ff194d433b87b09e8adff58dd.png","https://www.daraz.pk/products/1-4-pubg-i1953977372.html"
"RGB Gaming Keyboard - Mouse & Mousepad Combo - 7 Colours Wired RGB Mouse and Keyboard Set - USB Wired Pack For PC & Laptop - Black",598286809,1499,"Rs. 1,499","No Brand","ABU TALIB STORE",3.71,40,"Sindh","https://static-01.daraz.pk/p/bfd0bc1f5872e23378c3ebad9f5fb9d2.png","https://www.daraz.pk/products/7-i598286809.html"
"7245 Wired Gaming Headset – Stereo Bass Gaming Headphone with Microphone | Comfortable PC & Mobile Gaming Headset for PUBG, Free Fire Pakistan",1954426384,2050,"Rs. 2,050","No Brand","NexaGears",0,0,"Punjab","https://static-01.daraz.pk/p/7d1c9fdf13742160a64e145f78c0178f.jpg","https://www.daraz.pk/products/7245-pubg-i1954426384.html"
"【Professional】 Bingle G51 Gaming Headphones Rgb with Mic for PC, Pubg Mobile, PS4, Laptop - 360 Surround Sound  Super Bass Vibration Over the Ear Wired Head Phones Headset for Gaming with Noise Cancelling Micophone - By FunBug",445202673,2892,"Rs. 2,892","FUNBUG","FunBug",4.56,4,"Punjab","https://pk-live-21.slatic.net/kf/Sc5c0585cde524063915fe250d2de7febG.png","https://www.daraz.pk/products/51-4-360-i445202673.html"
"RGB Gaming Keyboard and Mouse and Headphones Combo with FREE Mousepad in Low price ~ Mechanical Feeling Gaming Key Board with 7 light RGB Gaming Mouse ~ Wired Keyboards for Mobile Gaming, Pubg, Laptop, PC, Minecraft, Xbox - 112 Keys - By FunBug",336740426,2027,"Rs. 2,027","FUNBUG","FunBug",4.52,2,"Punjab","https://pk-live-21.slatic.net/kf/Sfdac9c11cffe476aac9ee0007e72f0f3f.png","https://www.daraz.pk/products/rgb-7-rgb-pubg-xbox-112-i336740426.html"
"Wired Gaming Headset with Mic Over-Ear – Deep Bass Stereo Headphones | Noise Isolation | AUX 3.5mm for PC Laptop Mobile | Comfortable Gaming Headphones",1949895976,2020,"Rs. 2,020","No Brand","K4 Traders",0,0,"Sindh","https://static-01.daraz.pk/p/0315212dd94c18b080383ae079e702a1.png","https://www.daraz.pk/products/aux-35mm-i1949895976.html"
