"name","itemId","price","currentPrice","brandName","sellerName","ratingScore","itemSold","location","image","itemUrl"
"USB Type C Vooc Cable 5A Super Fast Charging Cord for OPPO R17 Reno4 Ace2 Find X3 X2 Reno 6 Pro 5G 5 4 3 F19 Mobile Phone Accessories Data Wire Type C Cable Charger USB Cable 65W Vooc Data Cable Fast Charging",426965682,499,"Rs. 499","No Brand","Kikcoo",4.79,1,"Punjab","https://static-01.daraz.pk/p/f4a5186bf472d148a6f8ab84abe12b4c.jpg","https://www.daraz.pk/products/usb-type-c-vooc-cable-5a-super-fast-charging-cord-for-oppo-r17-reno4-ace2-find-x3-x2-reno-6-pro-5g-5-4-3-f19-mobile-phone-accessories-data-wire-type-c-cable-charger-usb-cable-65w-vooc-data-cable-fast-charging-i426965682.html"
"Silicone Suction Pad Phone Holder Self-Adhesive Rubber Suction Holder",624028440,109,"Rs. 109","No Brand","Phonest",4.74,2,"Sindh","https://static-01.daraz.pk/p/4f655409b271de63d4b36e2a9dda92a3.jpg","https://www.daraz.pk/products/-i624028440.html"
"Mobile Phone Stand For Phone Retractable Holder Desk Table Clip Bracket Table Cell Phone Support Holder Mount For Live Broadcas",471319776,240.87,"Rs. 241","No Brand","Best Products Deal",4.67,28,"Sindh","https://static-01.daraz.pk/p/a19764c7c73fd002cb78dc4b21e99206.jpg","https://www.daraz.pk/products/-i471319776.html"
"1.4M Colorful Laser Phone Data Line Protector Cover TPU Spiral USB Charging Cable Protection Cord Universal Anti-break Spring USB Charger Wire Winder Organizer",944249042,199,"Rs. 199","No Brand","Gadgetaria",4.84,446,"Sindh","https://static-01.daraz.pk/p/ab0c9193e18fea06e07a5544f08ffb27.jpg","https://www.daraz.pk/products/14-tpu-usb-usb-i944249042.html"
"Silicon Phone Sticker Double Side Suction Pad | Sticky Grip Phone Stand | Reusable Silicon Phone Suction Mount",1947659155,79,"Rs. 79","No Brand","T-S Accessories",4.94,553,"Sindh","https://static-01.daraz.pk/p/608c57705d8ca455e2e9d03d6f75c697.png","https://www.daraz.pk/products/-i1947659155.html"
"Rechargeable LED Selfie Light For Mobile, Video Light For Mobile Camera Front & Back Clip-On Studio Fill Light 3 Modes Phone Camera (Better Than ring Light))Light For Tablet Laptop Live Stream Tiktok Video Makeup",911545276,1150,"Rs. 1,150","No Brand","Dealsway",4.51,748,"Punjab","https://static-01.daraz.pk/p/869c8028d8c4aeb9a638efc47ee2dcf9.jpg","https://www.daraz.pk/products/rechargeable-led-selfie-light-for-mobile-video-light-for-mobile-camera-front-back-clip-on-studio-fill-light-3-modes-phone-camera-better-than-ring-lightlight-for-tablet-laptop-live-stream-tiktok-video-makeup-i911545276.html"
"Tiktok, sketch and Art drawing, and YouTube videos creator Compatible Compact Lightweight Mobile Smart Phone Tripod Stand - Black",522635549,398.11,"Rs. 398","No Brand","Nadaan Mall",4.83,9,"Sindh","https://pk-live-21.slatic.net/kf/S52a08d5b82b74618a4906f05c8ba1fb9n.jpg","https://www.daraz.pk/products/-i522635549.html"
"2 In 1 Stylus Pen For Cellphone Tablet Capacitive Touch Pencil For Smart Phone Layor| 2 in 1 Universal Stylus Pen for Tablet Mobile Phone Pad Screen Podazz Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen",922450817,284,"Rs. 284","No Brand","uhm wholesaler",4.47,779,"Sindh","https://static-01.daraz.pk/p/08d7e40ad85689a38cd6341de4ea719b.jpg","https://www.daraz.pk/products/1-2-1-2-i922450817.html"
"FRAKIN Universal Waterproof Mobile Pouch Case for All IOS and Android - Water Proof Cover Bag Mobile Phone Protector",291718452,167,"Rs. 167","FrakinStore","FrakinStore",4.51,8,"Sindh","https://static-01.daraz.pk/p/4f9824c54141d2dc0844756f892ee8b2.jpg","https://www.daraz.pk/products/frakin-universal-waterproof-mobile-pouch-case-for-all-ios-and-android-water-proof-cover-bag-mobile-phone-protector-i291718452.html"
"Tiktok, sketch and Art drawing, and YouTube videos creator Compatible Compact Lightweight Mobile Smart Phone Tripod Stand -Black",889180120,429,"Rs. 429","No Brand","Login Mall SK",4.86,738,"Sindh","https://pk-live-21.slatic.net/kf/Sbc0f597c34db46608b46e9b4d6e06f49p.jpg","https://www.daraz.pk/products/-i889180120.html"
