"name","itemId","price","currentPrice","brandName","sellerName","ratingScore","itemSold","location","image","itemUrl"
"MI powerbank 20000mah,Xiaomi Redmi MI 20000mah Copy portable charging power | Mi Power Bank 2C 20000mAh | Dual USB Output | Fast Charging | Portable External Battery Pack","1952144333","948","Rs. 948","No Brand","AS ENTERPRISE'S",4.69,92,"Sindh","https://static-01.daraz.pk/p/d5be8a97787822913cfd6ab6b77f60b4.png","https://www.daraz.pk/products/mi-20000mah-mi-20000mah-mi-2c-20000mah-usb-i1952144333.html"
"Bolt B153 Original 20000mAh Power Bank - Fast Charging Powerbank for Mobile - 2.4A Portable Charger with Digital LED Display & Flashlight - Triple USB Ports External Battery Pack for All Smartphones","1952503924","199","Rs. 199","No Brand","ZayVok",4.33,38,"Sindh","https://static-01.daraz.pk/p/15260f17631268b3948719ae120cc2d2.jpg","https://www.daraz.pk/products/153-20000-24-i1952503924.html"
"⚡🔋 Ultra Fast Speed Charging Power Bank – powerbank – power bank – power bank 20000 mah – Mi 20000mAh Portable Powerbank with Dual USB Output, High Capacity Backup Charger for Android and All Other Devices & Travel Use","1951751872","1339","Rs. 1,339","No Brand","Apexcart",4.78,190,"Sindh","https://static-01.daraz.pk/p/7379a5e58c3858b7c15e2d68db5f775d.jpg","https://www.daraz.pk/products/20000-20000-i1951751872.html"
"MI Redmi Power 20000 Mah - MI Power Bank 20000 Mah - 20000 Mah Power Bank Fast Charging","1957642579","848","Rs. 848","No Brand","AS Gadgets",5,10,"Sindh","https://static-01.daraz.pk/p/509f7c35f42c631b52fa029fe03c484b.png","https://www.daraz.pk/products/mi-20000-mah-mi-20000-mah-i1957642579.html"
"BEME Explorer PowerBank 2 22.5W 30000mAh with 15 & 16 Supported Chip","1954263426","1999","Rs. 1,999","No Brand","LuxeLiving",0,0,"Punjab","https://static-01.daraz.pk/p/3f7e8419e067e752fcccd58264be85ee.jpg","https://www.daraz.pk/products/2-15-16-225-30000mah-i1954263426.html"
"BEME Explorer PowerBank 2 22.5W 30000mAh with 15 & 16 Supported Chip","1954263422","1999","Rs. 1,999","No Brand","DreamNest",0,0,"Punjab","https://static-01.daraz.pk/p/3f7e8419e067e752fcccd58264be85ee.jpg","https://www.daraz.pk/products/2-225-30000-15-16-i1954263422.html"
"PowerBank 10000mAh Pocket Size Bolt B157 | Dual USB | Type-C & Type-A Charging 2.4A","938365700","1128.25","Rs. 1,128","Bolt","AuraMart_",3.25,15,"Sindh","https://pk-live-21.slatic.net/kf/S18b81ab355294501a01c07ef931c4c576.jpg","https://www.daraz.pk/products/10000mah-b157-24a-i938365700.html"
"MI powerbank 20000mah,Xiaomi Redmi MI 20000mah Copy portable charging power | Mi Power Bank 2C 20000mAh | Dual USB Output | Fast Charging | Portable External Battery Pack","1954080057","1087","Rs. 1,087","No Brand","E4ELECTRO",5,0,"Sindh","https://static-01.daraz.pk/p/d5be8a97787822913cfd6ab6b77f60b4.png","https://www.daraz.pk/products/mi-powerbank-20000mahxiaomi-redmi-mi-20000mah-copy-portable-charging-power-mi-power-bank-2c-20000mah-dual-usb-output-fast-charging-portable-external-battery-pack-i1954080057.html"
"MI powerbank 20000mah,Xiaomi Redmi MI 20000mah Copy portable charging power | Mi Power Bank 2C 20000mAh | Dual USB Output | Fast Charging | Portable External Battery Pack","935304026","849","Rs. 849","No Brand","AS Gadgets",4.56,234,"Sindh","https://static-01.daraz.pk/p/b56edd143a7c43512ff041cd283b140a.png","https://www.daraz.pk/products/20000-20000-2-20000-i935304026.html"
"Havix ,mini 20000 mah powerbank with Biltan 2 cable typec/ litining","1957867904","5499","Rs. 5,499","No Brand","Haris tech hub",0,0,"Sindh","https://static-01.daraz.pk/p/8eff616d6a5fdc4beb6a6d8bff15d77f.jpg","https://www.daraz.pk/products/20000-2-i1957867904.html"
