"name","itemId","price","currentPrice","brandName","sellerName","ratingScore","itemSold","location","image","itemUrl"
"i9 Ultra Max Smartwatch 2.19 inch IPS Smart Watch Men Women DIY Dial Heart Rate Monitoring BT Call Magnetic Charging",531077292,2000,"Rs. 2,000","No Brand","Q Mall Stores",0,0,"Punjab","https://static-01.daraz.pk/p/5fc1f9deaa41dc5a8e685aff2cd820e0.jpg","https://www.daraz.pk/products/i9-219-ips-diy-bt-i531077292.html"
"Gen 9 Pro smart watch",746336460,4200,"Rs. 4,200","No Brand","Kamran center 11",0,0,"Sindh","https://pk-live-21.slatic.net/kf/Sde5e7c72019e4c3a89b301c2fc92841dl.jpg","https://www.daraz.pk/products/gen-9-i746336460.html"
"x8 smart watch Multiple Function with High battery timing",452487983,3500,"Rs. 3,500","No Brand","Charsadda360",5,0,"Azad Kashmir","https://static-01.daraz.pk/p/65d7614f920bcf3c9059802766200131.jpg","https://www.daraz.pk/products/x8-i452487983.html"
"Silver Arabic Aura Watch for Mens Smart Watch Fiber Chain 2025 New Edition Royal Arabic Dial Luxury Mens Wristwatch Silver Chain Watch for Wedding Gift for Men and Boys Branded Quartz Watch New Arrival 2026 Pakistan Fashion Arabic Calligraphy Watch",1948967620,799,"Rs. 799","No Brand","AAA Global Services",0,0,"Sindh","https://static-01.daraz.pk/p/a28ab2634a6d948d29b4c7db99f9c467.jpg","https://www.daraz.pk/products/2025-2026-i1948967620.html"
"DZ09 Smartwatch | Touch Screen Display | Sim

Supported | Calling and Camera |

Smart Watch",925394331,2645,"Rs. 2,645","No Brand","MJ Store",0,0,"Punjab","https://pk-live-21.slatic.net/kf/S1e308fec476c4f088570434cc5c11036R.jpg","https://www.daraz.pk/products/09-i925394331.html"
"Galaxy watch 5 smartwatch for men and women",436073581,56499,"Rs. 56,499","No Brand","Ahmad ocean mart",4.89,39,"Khyber Pakhtunkhwa","https://pk-live-21.slatic.net/kf/S4ee1eda13a1648a5848ffa14c62bb551R.jpg","https://www.daraz.pk/products/5-i436073581.html"
"DZ09 Smartwatch | Touch Screen Display | Sim

Supported | Calling and Camera |

Smart Watch",925395344,2503.25,"Rs. 2,503","No Brand","MJ Store",0,0,"Punjab","https://pk-live-21.slatic.net/kf/S6aab8a8b356f45db9d02dd3e332a669c1.jpg","https://www.daraz.pk/products/09-i925395344.html"
"Ronion Original Premium Quality Chain Super Amoled Display Smart Watch",559020701,25999,"Rs. 25,999","No Brand","AH Zone ( RAWALPINDI )",0,0,"Punjab","https://pk-live-21.slatic.net/kf/Sca3a47fac3b3435aa5b4e7cd8dd28ae7D.jpg","https://www.daraz.pk/products/-i559020701.html"
"Samsung Galaxy Watch 5 44mm R-910 blue , Black and Silver",425012241,59999,"Rs. 59,999","No Brand","Daniyal0776 Store",0,0,"Sindh","https://static-01.daraz.pk/p/0a0222b257b7e50c85a10b8e0d9225fa.jpg","https://www.daraz.pk/products/5-44-r-910-i425012241.html"
"Samsung Galaxy Watch 6 Classic 47mm",610494256,8000,"Rs. 8,000","No Brand","Zarba Store",0,0,"Punjab","https://static-01.daraz.pk/p/2c4b23d25a5d9d617995c30098195f05.jpg","https://www.daraz.pk/products/6-47-i610494256.html"
"GT9 round smartwatch",886780400,2600,"Rs. 2,600","No Brand","Students Emporium Mall",0,0,"Khyber Pakhtunkhwa","https://static-01.daraz.pk/p/50c9ec9a84fac1b4286f70c91b9ae3ea.jpg","https://www.daraz.pk/products/gt9-i886780400.html"
"Dany Evolution Smartwatch - AMOLED Display, Bluetooth Calling, IP67 Water-Resistant, Blood Pressure & Heart Rate Monitor, 5-7 Days Battery, Stainless Steel Body With One Year Brand Warranty",529328284,12239,"Rs. 12,239","DANY","Audionic",5,0,"Sindh","https://static-01.daraz.pk/p/fe48bb27ebea0d5e4bfe6ee46bddb304.png","https://www.daraz.pk/products/ip67-5-7-i529328284.html"
"Xiaomi Mi Smart Band 7 Original Global | Black",432459698,13000,"Rs. 13,000","No Brand","Daniyal0776 Store",0,0,"Sindh","https://static-01.daraz.pk/p/c5480ab504f61b8f020d848157848801.png","https://www.daraz.pk/products/mi-7-i432459698.html"
"Aura Watch Marble Design Black and White Shade Dial Stylish Aura Watch Original Amazing Smart Watch - Elegant New Black Arabic Aura Watch Full Black Dial in Fiber and Metal With Box",804573369,599,"Rs. 599","No Brand","Hi Store Craft ",4.33,71,"Sindh","https://static-01.daraz.pk/p/94d0f4c1d08d5fb6fd7f68c93ad355cd.png","https://www.daraz.pk/products/-i804573369.html"
"Kieslect Calling Kr Smartwatch Black",320989851,13500,"Rs. 13,500","No Brand","Chamkaoapnidukaan",4.66,59,"Sindh","https://static-01.daraz.pk/p/8fcfd4bbc26a42a2fa03b9d0267e3d2b.jpg","https://www.daraz.pk/products/kr-i320989851.html"
"DIZO Watch R AMOLED with 45mm Dial Size  – Silver Grey",347834546,11499,"Rs. 11,499","Dizo","DIZO by Realme TechLife Pakistan",3.67,12,"Sindh","https://static-01.daraz.pk/p/62a08375b2c5564ec25cd19f3e8dfcd5.jpg","https://www.daraz.pk/products/dizo-watch-r-amoled-with-45mm-dial-size-silver-grey-i347834546.html"
"V16 ProMax Round Smartwatch - 7-in-1 Hyper Watch | SIM CALLING | BT | Heart Rate | Premium AMOLED Display & Vivid Screen",940851064,2850,"Rs. 2,850",".No Brand.","THE OMNI CART",0,0,"Punjab","https://static-01.daraz.pk/p/d1193d7893144d74ab5091f707a31258.jpg","https://www.daraz.pk/products/v16-1-7-ang-bt-i940851064.html"
"SK40 Three Straps Smart Watch",930391743,8099,"Rs. 8,099","No Brand","MR GADGET-KARACHI",0,0,"Sindh","https://static-01.daraz.pk/p/623834caa6c3085152b928e83fcc77e9.jpg","https://www.daraz.pk/products/sk40-i930391743.html"
"Ronin L-110 Enigma Diva Smart Watch for Girls",943078614,14450,"Rs. 14,450","Ronin","H Ahmed Store",0,0,"Sindh","https://static-01.daraz.pk/p/7a4685bfaec1641d8985a6faf81710b5.jpg","https://www.daraz.pk/products/l-110-i943078614.html"
"latest arrival Unique Watch For men's with box Smart Sport Watch Waterproof - High Quality Digital Watches",312863474,999,"Rs. 999","No Brand","Hi Store Craft ",4.91,21,"Sindh","https://static-01.daraz.pk/p/56f7b9a182d7564934ef483f7aa5d865.jpg","https://www.daraz.pk/products/-i312863474.html"
"R-014 LUXE Smart Watch",884117433,15950,"Rs. 15,950","No Brand","MK Easy Shop",0,0,"Punjab","https://pk-live-21.slatic.net/kf/Se84bcdf0b7a04eddb3a637a86a61c8d1b.jpg","https://www.daraz.pk/products/r-014-i884117433.html"
"GT1 Bluetooth Calling Smartwatch Watch Multiple Sport Mode Sleep Monitoring Information Push Bluetooth Calling",633934538,2999,"Rs. 2,999","No Brand","Gadgets.com",0,0,"Sindh","https://static-01.daraz.pk/p/b79463f48e967534f96755d3fc8ab7a0.jpg","https://www.daraz.pk/products/gt1-i633934538.html"
"smart watch like Led watch good quality sports watch Magnetic Strap Digital Watch / Multicolor",384555667,799,"Rs. 799","No Brand","SME Store",5,24,"Sindh","https://static-01.daraz.pk/p/1f43920da34042592c4961b64a9231d6.jpg","https://www.daraz.pk/products/led-i384555667.html"
"Y80 
ULTRA SMART WATCH
WITH 8 IN 1 ACCESSORIES",498077434,5500,"Rs. 5,500","No Brand","Zk Outlet",0,0,"Sindh","https://pk-live-21.slatic.net/kf/S165ce5fcdb94417aacc1ceecb11117ddP.jpg","https://www.daraz.pk/products/y80-1-8-i498077434.html"
"Infinity 2.02″ AMOLED Display
• Notification popup mode
• Making & Answer Calls via Bluetooth v5.2.
• GPS Enabled
• NFC Enabled
• Voice Assistant Activated
• BT Music, BT Calling
• Rise to awake
• Waterproof – Dustproof
• Strap Lock
• Super Smooth Refresh",542217329,1750,"Rs. 1,750","No Brand","Comfort shopping zone 1",5,44,"Punjab","https://pk-live-21.slatic.net/kf/S907972d3f60a4591a2f26ab9e2b0831dM.jpg","https://www.daraz.pk/products/202-v52-gps-nfc-bt-bt-i542217329.html"
"Realme_Smart Band 2 is equipped with 1.4"" Large Colour Display, Blood Oxygen & Hear Rate Monitor and 90 Sports Mode",374233419,8499,"Rs. 8,499","No Brand","Awan.Co",0,0,"Punjab","https://static-01.daraz.pk/p/2a701eb8711cf02e0d1f39f520ff26f8.jpg","https://www.daraz.pk/products/realmi-smart-band-2-with-quad-core-processor-i374233419.html"
"Galaxy Watch 8 Clone New Smart Watch | 40mm Dial",933027171,9099,"Rs. 9,099","No Brand","MR GADGET PK",0,0,"Sindh","https://static-01.daraz.pk/p/a144f36c51c1744a132b42c31e77568a.jpg","https://www.daraz.pk/products/8-40-i933027171.html"
"White Aura Stylish Smart Wrist Watch for Men & Women – Elegant Analog & Digital Design, Perfect for Casual & Formal Wear",933132820,600.05,"Rs. 600","No Brand","FOUR DEE STORE",4.97,158,"Sindh","https://static-01.daraz.pk/p/ef77d3388d9010bf93d1bbc0ec2c443d.jpg","https://www.daraz.pk/products/-i933132820.html"
"Smart Watch L28",537313999,4899,"Rs. 4,899","No Brand","Alpha Easy Store ",0,0,"Punjab","https://pk-live-21.slatic.net/kf/Sb37bef2efbf349ee8c38dd8d906c720fK.jpg","https://www.daraz.pk/products/l28-i537313999.html"
"GT1 Smartwatch 1.28-inch IPS color screen",941570739,2099,"Rs. 2,099","No Brand","Multi Core Hub",0,0,"Sindh","https://static-01.daraz.pk/p/dcb0d1523b43a9fa4307a18ddfd82528.jpg","https://www.daraz.pk/products/gt1-128-ips-i941570739.html"
"Luxury Gold Smart Watch – Round Dial Elegant Design | Smart Wear for Men & Women | Premium",927516035,2599,"Rs. 2,599","No Brand","SMART  WEAR",0,0,"Sindh","https://static-01.daraz.pk/p/81b8711d9d0c6bcdf0cac451066b774e.jpg","https://www.daraz.pk/products/-i927516035.html"
"""Don’t just tell time. Own it. Shop the RW 31 Smart Watch now!"" HAINO TEKO RW-31 SMART WATCH",890400782,5500,"Rs. 5,500","No Brand","IMAGE ACCESSORIES ",0,0,"Sindh","https://static-01.daraz.pk/p/05ff6299de902b61dbb416f5de8f4633.jpg","https://www.daraz.pk/products/rw-31-i890400782.html"
"Black Arabic Aura Watch For Men Stylish Aura Watch 100% Original Watch Amazing Smart Watch",920443563,599,"Rs. 599","No Brand","Homeducts",5,18,"Sindh","https://pk-live-21.slatic.net/kf/S2a71ce5cfb3f49abbc78d9343f73d9afq.jpg","https://www.daraz.pk/products/100-i920443563.html"
"Round Dial Smart Watch | ZW60 Smart Watch | Super Amoled 1.34'' Bezel Less Display | BT Calling & Sports Features",605496311,6499,"Rs. 6,499","No Brand","W Teck.",5,0,"Sindh","https://static-01.daraz.pk/p/c9b713e9bdd09f05382f109eab2bd4dc.jpg","https://www.daraz.pk/products/zw90-134-i605496311.html"
"LCZ DZ09 Smartwatch | Touch Screen Display | Sim Supported | Calling and Camera | PTA Approved | Smart Watch",560547424,2599,"Rs. 2,599","No Brand","Laiba Comfort Zone",0,0,"Punjab","https://static-01.daraz.pk/p/45a6d5ac4c06e61e9d8a496462cf0cf9.jpg","https://www.daraz.pk/products/lcz-dz09-pta-i560547424.html"
"EX18 IP67 Smart Professional Sports Fitness Wristwatch",1947223500,3495,"Rs. 3,495","No Brand","technical_awam",0,0,"Punjab","https://static-01.daraz.pk/p/7bf0166fbae105f4ec33def91ccee21d.jpg","https://www.daraz.pk/products/ex18-ip67-smart-professional-sports-fitness-wristwatch-i1947223500.html"
"Smart Watch For Men",379871194,3500,"Rs. 3,500","No Brand","Adlee",0,0,"Punjab","https://static-01.daraz.pk/p/a1bda8526fcac3b521388ed2e69b5d7a.jpg","https://www.daraz.pk/products/-i379871194.html"
"MK22 Elite Smartwatch (10 Straps Pack)",916539600,3000,"Rs. 3,000","No Brand","Whole-Sale",0,0,"Punjab","https://static-01.daraz.pk/p/09b48a515017c03823115d2352742294.jpg","https://www.daraz.pk/products/mk22-10-i916539600.html"
