"name","itemId","price","currentPrice","brandName","sellerName","ratingScore","itemSold","location","image","itemUrl"
"Original Mi Hands free High Quality Super Bass Stereo Hand free Earphone With Mic For All Mobile And Android Phone - Handsfree Earpods With Extra Bass and Calling Mic By Matt Pie","267143078","199","Rs. 199","No Brand","(BiG SHOP)",1,8,"Punjab","https://static-01.daraz.pk/p/38f062dade0634b8a773d4197371cea3.jpg","https://www.daraz.pk/products/original-mi-hands-free-high-quality-super-bass-stereo-hand-free-earphone-with-mic-for-all-mobile-and-android-phone-handsfree-earpods-with-extra-bass-and-calling-mic-by-matt-pie-i267143078.html"
"Original Mi Hands free High Quality Super Bass Stereo Hand free Earphone With Mic For All Mobile And Android Phone - Handsfree Earpods With Extra Bass and Calling Mic By Matt Pie","127480721","249","Rs. 249","No Brand","(BiG SHOP)",3.37,151,"Punjab","https://static-01.daraz.pk/p/7c7637c15c22aa48a4ae42c620d620f6.jpg","https://www.daraz.pk/products/original-mi-hands-free-high-quality-super-bass-stereo-hand-free-earphone-with-mic-for-all-mobile-and-android-phone-handsfree-earpods-with-extra-bass-and-calling-mic-by-matt-pie-i127480721.html"
"Super Mini Earpods Invisible Ultra Bluetooth 4.0  Wireless Stereo Single Headset With Mic Universal Handsfree SR M16 Super Mini Invisible Ultra Bluetooth 5.0 Wireless Stereo Single Headset With Mic Universal Handsfree For All Mobile Phones","115462545","798","Rs. 798","Malamah","Emily 1",3.33,19,"Punjab","https://static-01.daraz.pk/p/8149068eb032eed3a33524e321835b87.jpg","https://www.daraz.pk/products/40-sr-m16-50-i115462545.html"
"Super Mini Earpods Invisible Ultra Bluetooth 4.0  Wireless Stereo Single Headset With Mic Universal Handsfree For All Mobile Phones","130721847","798","Rs. 798","Malamah","Emily 1",0,0,"Punjab","https://static-01.daraz.pk/p/256fdfe68b05d986cd202a27a129ca0c.jpg","https://www.daraz.pk/products/40-i130721847.html"
"Super Mini Earpods Invisible Ultra Bluetooth Universal Handsfree For All Mobile Phones Wireless Stereo Single Headset With Mic  SR M16 Super Mini Invisible Ultra Bluetooth 5.0 Wireless Stereo Single Headset With Mic Universal Handsfree","130727253","899","Rs. 899","Malamah","Emily 1",3,9,"Punjab","https://static-01.daraz.pk/p/44d2f0735ef4ec2aa92048c9952e7e0e.jpg","https://www.daraz.pk/products/sr-m16-50-i130727253.html"
"Super Mini Earpods Invisible Ultra Bluetooth 4.0 Wireless Stereo Single Headset With Mic Universal Handsfree For All Mobile Phones","263549589","598","Rs. 598","No Brand","EMILY CLASSIO",0,0,"Punjab","https://static-01.daraz.pk/p/d32ae1324f1b853a486e8ad9e7c48947.jpg","https://www.daraz.pk/products/40-i263549589.html"
"Premium Air 31 TWS Earpods: Bluetooth 5.3, Noise Reduction, Handsfree Touch Control, Long Battery Life for Mobile Phones","932714434","899","Rs. 899","No Brand","Wireless Hub",0,0,"Punjab","https://static-01.daraz.pk/p/60062d2adc4b03bda1863a6e8c02db61.jpg","https://www.daraz.pk/products/31-tws-53-i932714434.html"
"Original Wireless Earbuds Bluetooth_airpod pro true wireless earpods Handfree for all mobile phones","468943081","1999","Rs. 1,999","No Brand","khalid jahen traders",0,0,"Punjab","https://static-01.daraz.pk/p/8762e9c118293127e54ff7921f3eb993.png","https://www.daraz.pk/products/-i468943081.html"
"AMB Earpods Max 15Compatible with mobile phone and tablet which have the Bluetooth function.","433105698","5000","Rs. 5,000","No Brand","Snaps Buy",0,0,"Punjab","https://static-01.daraz.pk/p/6b8a2ef3e74fe5688ff7fef2192fe7cf.jpg","https://www.daraz.pk/products/amb-earpods-max-15-i433105698.html"
"AVA SUPER MINI EARPODS INVISIBLE ULTRA BLUETOOTH 4.0 WIRELESS STEREO SINGLE BLUE TOOTH HEADSET WITH MIC UNIVERSAL HANDSFREE FOR ALL MOBILE PHONES AVA SUPER MINI EARPODS INVISIBLE ULTRA BLUETOOTH 4.0 WIRELESS STEREO SINGLE BLUE TOOTH HEADSET WITH MIC UNIVE","237019503","799","Rs. 799","AVA","EMILY AVA",0,0,"Punjab","https://static-01.daraz.pk/p/787c0a58438a35ac78bbc2050bdb09c4.jpg","https://www.daraz.pk/products/ava-40-ava-40-i237019503.html"
