"title","price","currency","originalPrice","isOnSale","rating","reviewCount","favorites","freeShipping","shopName","shopSales","yearsOnEtsy","starSeller","category","isAd","shopId","listingId","url","image/@context","image/@type","image/author","image/contentURL","image/description","image/thumbnail"
"Large Oushak Vintage Rug, Turkish, Hand-Made Wool, Bohemian Decor (6.8x10.3 ft)","524","USD","1310","true","4.9","738","35",,"VintageRugsHouse","6500","7","true","Home & Living < Floor & Rugs < Rugs",,,"4472293899","https://www.etsy.com/listing/4472293899/large-oushak-vintage-rug-turkish-hand","https://schema.org","ImageObject","VintageRugsHouse","https://i.etsystatic.com/19321899/r/il/e141c8/7857175797/il_fullxfull.7857175797_t1i4.jpg","May include: A rectangular, distressed-look rug with a central peach-colored field and a detailed border. The rug features a floral pattern with accents of blue and cream. The rug is displayed on a gray surface, with stacks of other rugs visible in the background.","https://i.etsystatic.com/19321899/r/il/e141c8/7857175797/il_340x270.7857175797_t1i4.jpg"
"Faded Blue Jute Rug: Moroccan Medallion Trellis Cottagecore Farmhouse Decor Area Rug - Handwoven & Vintage","109.95","USD","157.07","true","4.8","994","128",,"CarpetEmpire","5200","5","true","Home & Living < Floor & Rugs < Rugs",,,"4500802645","https://www.etsy.com/listing/4500802645/faded-blue-jute-rug-moroccan-medallion","https://schema.org","ImageObject","CarpetEmpire","https://i.etsystatic.com/27973061/r/il/740d8a/8040886365/il_fullxfull.8040886365_pat5.jpg","Vintage jute area rug with Moroccan quatrefoil pattern in faded denim blue, sage olive, tan beige, and soft peach. Handwoven cottagecore farmhouse flatweave.","https://i.etsystatic.com/27973061/c/3000/3000/0/0/il/740d8a/8040886365/il_340x270.8040886365_pat5.jpg"
"Vintage Refurbished Pre-Owned Mechanical Watch | Sky Blue Dial ST-96 Movement 17 Jewels Wrist watch.","40.42","USD","67.37","true","4.7","141","137",,"VintageWatchory","359",,"true","Jewelry < Watches < Wrist Watches < Men's Wrist Watches",,,"4497923143","https://www.etsy.com/listing/4497923143/vintage-refurbished-pre-owned-mechanical","https://schema.org","ImageObject","VintageWatchory","https://i.etsystatic.com/63005722/r/il/897292/7973702504/il_fullxfull.7973702504_54n8.jpg","May include: A vintage Oris wristwatch with a light blue face, gold hands and markers, and a black leather band. The watch face displays the text &quot;ORIS&quot;, &quot;17 JEWELS&quot;, and &quot;SHOCK PROOF&quot;. The watch has a stainless steel case.","https://i.etsystatic.com/63005722/r/il/897292/7973702504/il_340x270.7973702504_54n8.jpg"
"Vintage Seiko Tank Watch: Gold Plated Rectangular Case, Green Roman Numeral Dial","49.8","USD","83","true","4.6","48","2724",,"PROWATCHSTUDIO","2800","1","true","Jewelry < Watches < Wrist Watches < Men's Wrist Watches",,,"4352175271","https://www.etsy.com/listing/4352175271/vintage-seiko-tank-watch-gold-plated","https://schema.org","ImageObject","PROWATCHSTUDIO","https://i.etsystatic.com/60228150/r/il/306fd4/7109041162/il_fullxfull.7109041162_j99b.jpg","May include: A rectangular gold-toned wristwatch with a green face and Roman numeral hour markers. The watch features gold hands and a brown leather band. The watch face has a textured pattern and the brand name is visible.","https://i.etsystatic.com/60228150/r/il/306fd4/7109041162/il_340x270.7109041162_j99b.jpg"
"Romantic Cottagecore Floral Tote Bag, Handmade Patchwork Lace Shoulder Bag, Soft Vintage Aesthetic Everyday Bag, Dreamy Gift for Her","37.33","USD","106.67","true","4.2","6","402",,"AisleDesignStudios","108",,"true","Bags & Purses < Totes",,,"4515535925","https://www.etsy.com/listing/4515535925/romantic-cottagecore-floral-tote-bag","https://schema.org","ImageObject","AisleDesignStudios","https://i.etsystatic.com/64995455/r/il/236643/8139337037/il_fullxfull.8139337037_qgtk.jpg","May include: A hobo-style shoulder bag featuring a patchwork floral fabric body in shades of pink, green, and cream. The upper section is adorned with white lace, and the bag includes two brown leather straps attached with brass-toned metal rings.","https://i.etsystatic.com/64995455/r/il/236643/8139337037/il_340x270.8139337037_qgtk.jpg"
"USA Vintage Style 250th Anniversary Garden Flag, Faux Patchwork Vintage USA Flag for Independence Day, 4th of July Outdoor Decor, USA Flag","13.6","USD","33.99","true","4.6","30","388",,"snazzyjazzyshoppe","731",,"true","Home & Living < Outdoor & Gardening < Garden Decoration",,,"4514152607","https://www.etsy.com/listing/4514152607/usa-vintage-style-250th-anniversary","https://schema.org","ImageObject","snazzyjazzyshoppe","https://i.etsystatic.com/63125652/r/il/ea4b6c/8081608588/il_fullxfull.8081608588_qmoy.jpg","May include: A quilted garden flag featuring a dark blue canton with thirteen gold stars surrounding the text 250 YEARS. The flag has vertical red and cream stripes, with a bottom cream panel displaying the text AMERICA EST. 1776 and floral accents.","https://i.etsystatic.com/63125652/r/il/ea4b6c/8081608588/il_340x270.8081608588_qmoy.jpg"
"LED Table Number - Glowing Number - Illuminated  and engraved - Corporate | Gala | Restaurant | Venue -  QUANTITY Priced","12.95","USD",,"false","4.9","8","392",,"EventsTableDecor","2000","11","true","Home & Living < Home Decor < Wall Decor < Wall Hangings < Signs",,,"477924048","https://www.etsy.com/listing/477924048/led-table-number-glowing-number","https://schema.org","ImageObject","EventsTableDecor","https://i.etsystatic.com/9622330/r/il/caf134/6650412058/il_fullxfull.6650412058_cdwr.jpg","May include: A green acrylic table number with the number &quot;6&quot; in white. The table number is on a table with green and white floral arrangements and two clear glass cylinders with candles.","https://i.etsystatic.com/9622330/r/il/caf134/6650412058/il_340x270.6650412058_cdwr.jpg"
"Vintage Moissanite Engagement Ring Set Unique 14K Rose Gold Engagement Ring Women Eternity Moissanite Wedding Band Bridal Promise Ring Set","987","USD","1316","true","4.9","3438","635",,"FOneUS","11900","7","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"1509385513","https://www.etsy.com/listing/1509385513/vintage-moissanite-engagement-ring-set","https://schema.org","ImageObject","FOneUS","https://i.etsystatic.com/18642848/r/il/c95545/5074648509/il_fullxfull.5074648509_qod5.jpg","May include: A rose gold engagement ring set with a large oval-shaped center stone surrounded by a halo of smaller stones. The ring is paired with a matching band featuring a row of smaller stones.","https://i.etsystatic.com/18642848/r/il/c95545/5074648509/il_340x270.5074648509_qod5.jpg"
"Marquise Cut Moissanite Engagement Ring, Vintage Style Antique Art Deco Style Engagement Ring, Unique Wedding Ring, Luxury Anniversary Ring","252.75","USD","495.58","true","4.7","795","10151",,"VintagediamondUS","3300","3","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"1760842997","https://www.etsy.com/listing/1760842997/marquise-cut-moissanite-engagement-ring","https://schema.org","ImageObject","VintagediamondUS","https://i.etsystatic.com/36957399/r/il/6441c8/7541382398/il_fullxfull.7541382398_i7eq.jpg","Marquise Cut Moissanite Ring, Vintage Engagement Ring, Art Deco Style Ring, Unique Wedding Ring, Luxury Anniversary Ring, Moissanite Engagement Ring, Vintage Art Deco Ring, Antique Style Ring","https://i.etsystatic.com/36957399/c/1898/1898/692/614/il/6441c8/7541382398/il_340x270.7541382398_i7eq.jpg"
"Unique Moissanite Engagement Ring Set Natural Leaf Floral Ring Bridal Set Vintage Ring Moissanite Cluster Ring Set Anniversary Gifts for Her","726","USD","968","true","4.9","2059","75",,"ArcadiastudioUS","6400","5","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"1651065975","https://www.etsy.com/listing/1651065975/unique-moissanite-engagement-ring-set","https://schema.org","ImageObject","ArcadiastudioUS","https://i.etsystatic.com/25082651/r/il/0a23c8/5693547279/il_fullxfull.5693547279_dal2.jpg","May include: A rose gold engagement ring set with an oval-shaped center stone and intricate floral details. The ring is set with smaller diamonds and has a delicate band.","https://i.etsystatic.com/25082651/c/1626/1292/180/354/il/0a23c8/5693547279/il_340x270.5693547279_dal2.jpg"
"Engagement Ring Emerald Cut Moissanite Ring Unique Hidden Halo Ring Yellow Gold Vintage Cluster Bridal Set Emerald Cut Wedding Ring Set","1049.5","USD","1234.71","true","4.9","1666","88",,"URTreasureBox","6000","6","true","Jewelry < Rings < Wedding & Engagement < Bridal Sets",,,"1679889052","https://www.etsy.com/listing/1679889052/engagement-ring-emerald-cut-moissanite","https://schema.org","ImageObject","URTreasureBox","https://i.etsystatic.com/22713616/r/il/322177/5930171983/il_fullxfull.5930171983_nql3.jpg","May include: A three-piece gold engagement ring set. The primary ring features a large, rectangular, clear gemstone. The set includes a diamond band and a curved band with marquise-cut stones. The rings are displayed on a dark green surface.","https://i.etsystatic.com/22713616/c/825/655/83/118/il/322177/5930171983/il_340x270.5930171983_nql3.jpg"
"Oval Moissanite Engagement Ring: Vintage Hidden Halo, Sterling Silver or Gold","254.66","USD","499.33","true","4.7","795","162",,"VintagediamondUS","3300","3","true","Jewelry < Rings < Wedding & Engagement < Engagement Rings",,,"1723462967","https://www.etsy.com/listing/1723462967/oval-moissanite-engagement-ring-vintage","https://schema.org","ImageObject","VintagediamondUS","https://i.etsystatic.com/36957399/r/il/d01829/6004699031/il_fullxfull.6004699031_2n58.jpg","May include: A gold engagement ring with a large, round, clear center stone surrounded by smaller stones. The ring has a delicate band with smaller stones set along the sides.","https://i.etsystatic.com/36957399/c/1592/1264/662/703/il/d01829/6004699031/il_340x270.6004699031_2n58.jpg"
"Vintage Ruby Red Glass Hen Dish, Farmhouse Decor, Multi-use Storage, Small & Large Sizes","36.4","USD","52","true","4.7","40","174",,"Jsjsjsjh","180",,"true","Home & Living < Kitchen & Dining < Kitchen Storage < Jars & Containers",,,"4492132849","https://www.etsy.com/listing/4492132849/vintage-ruby-red-glass-hen-dish","https://schema.org","ImageObject","Jsjsjsjh","https://i.etsystatic.com/65058275/r/il/2e3883/7935483226/il_fullxfull.7935483226_8rdy.jpg","May include: A ruby red glass hen-shaped covered dish. The hen has detailed feather and head features, with a textured surface. The dish sits in a matching base with a beaded rim. A decorative kitchenware item.","https://i.etsystatic.com/65058275/r/il/2e3883/7935483226/il_340x270.7935483226_8rdy.jpg"
